問題上,問題中,問題下,解答,識別文字,識別番号
来た道を,辿,ってゴールを目指す。,たど,辿たど,1
その人の力量は,擢,んでている。,ぬき,擢ぬき,2
近所のうわさ話に,殆,困っている。,ほとほと,殆ほとほと,3
会社の,柵,を断ち切りたい。,しがらみ,柵しがらみ,4
性格が,捌,けているといわれる。,さば,捌さば,5
,巽,の方角にきれいな星が点在する。,たつみ,巽たつみ,6
,萎,れかけた花を水に挿す。,しお,萎しお,7
意識不明の状態から,蘇,った。,よみがえ,蘇よみがえ,8
父は,頗,る上機嫌で出迎えてくれた。,すこぶ,頗すこぶ,9
その山には,椙,が林立している。,すぎ,椙すぎ,10
すばらしい贈り物を,嘉,する。,よみ,嘉よみ,11
帰宅途中で,屡,訪れる店だ。,しばしば,屡しばしば,12
そんな些細なことも,忽,せにしない。,ゆるが,忽ゆるが,13
人を,詑,くことなく生きていたい。,あざむ,詑あざむ,14
夕暮れに湖の,漣,を見つめていた。,さざなみ,漣さざなみ,15
知人に,誹,られ気がふさぐ。,そし,誹そし,16
,葎,は広い範囲に亘って密生する。,むぐら,葎むぐら,17
眼鏡に,適,う人物はいなかった。,かな,適かな,18
旧例に,泥,んでいては進歩がない。,なず,泥なず,19
その,頑,さは誰に似たのだろう。,かたくな,頑かたくな,20
,荻,の根茎が地中を走る。,おぎ,荻おぎ,21
子供の頃、神社の,狛犬,が怖かった。,こまいぬ,狛犬こまいぬ,22
生活のため玩具などを,粥,ぐ。,ひさ,粥ひさ,23
我が子の,幼,い仕草に心が和む。,いとけな,幼いとけな,24
お礼の手紙を,認,める。,したた,認したた,55
彼の成功に,肖,りたい。,あやか,肖あやか,56
,鵜,の目鷹の目で狙っている。,う,鵜う,57
この論説は時流に,阿,っている。,おもね,阿おもね,58
作品が,苛,い評価をされる。,から,苛から,59
落語家の,噺,を聞く。,はなし,噺はなし,60
人の親切を,蔑,ろにする。,ないがし,蔑ないがし,61
泣く子を必死に,宥,めている。,なだ,宥なだ,62
脱穀後の,籾,がらを掃除する。,もみ,籾もみ,63
,煽,てられていい気になる。,おだ,煽おだ,64
母の死を,戚,む。,いた,戚いた,65
その決定は大きな,歪,みを生んだ。,ひず,歪ひず,66
昔の,誼,で口ききしてくれた。,よしみ,誼よしみ,67
,笈,を背負って行脚に出かけた。,おい,笈おい,68
次々に案件を,捌,いていく。,さば,捌さば,69
そのシーンは,宛,ら映画のようだ。,さなが,宛さなが,70
二人の問題は,姑,く置いておく。,しばら,姑しばら,71
,鐙,を蹴って馬に合図を送る。,あぶみ,鐙あぶみ,72
海外に,坐,らにして日本の事件を知る。,いなが,坐いなが,73
作物を,蝕,む害虫を排除する。,むしば,蝕むしば,74
,賂,いの品と知り受け取りを拒否する。,まいな,賂まいな,75
雪の上に,轍,が続いている。,わだち,轍わだち,76
小さな穴から部屋の中を,覗,いた。,のぞ,覗のぞ,77
,俄,か評論家になって批評する。,にわ,俄にわ,78
歌舞伎の立ち回りで,砧,拍子が響く。,きぬた,砧きぬた,109
完成は,偏,に君の努力によるものだ。,ひとえ,偏ひとえ,110
着物の女性の,艶姿,に見とれる。,あですがた,艶姿あですがた,111
,韮,には独特のにおいがある。,にら,韮にら,112
私たちの,媒,は会社の部長です。,なかだち,媒なかだち,113
,醬,とは、なめ味噌の一種だ。,ひしお,醬ひしお,114
幼子の柔らかい髪を,櫛,る。,くしけず,櫛くしけず,115
庭先に,鴇色,の花が咲き乱れる。,ときいろ,鴇色ときいろ,116
山と山の,硲,をひたすら進む。,はざま,硲はざま,117
稲から,籾殻,を取り除く。,もみがら,籾殻もみがら,118
解決策がない難題を,店晒,しにする。,たなざら,店晒たなざら,119
,擢,んでたセンスで業界のトップとなる。,ぬき,擢ぬき,120
,蔑,みをこめて睨みつける。,さげす,蔑さげす,121
その古戦場は,巽,の方角にある。,たつみ,巽たつみ,122
,哨,を門に立たせて警備を強化する。,みはり,哨みはり,123
強力な助っ人のおかげで,捗,った。,はかど,捗はかど,124
子どもの,姦,しい声が聞こえる。,かしま,姦かしま,125
,瀆,れた心で朗読しないでほしい。,けが,瀆けが,126
祭りで,榊,の枝を使う。,さかき,榊さかき,127
地図を,辿,って目的地に着く。,たど,辿たど,128
,舷,をつかんで揺れに耐えた。,ふなばた,舷ふなばた,129
雪が解けて,雫,がしたたっている。,しずく,雫しずく,130
厳しい言葉に,萎,れ返った。,しお,萎しお,131
相手の,怯,む隙に攻め込んだ。,ひる,怯ひる,132
,梯,を使って屋根の修理をする。,はしご,梯はしご,163
,八重葎,の覆う庭で過ごす。,やえむぐら,八重葎やえむぐら,164
歳を重ね何事も,恕,せるようになった。,ゆる,恕ゆる,165
袖の,綻,びを直してもらう。,ほころ,綻ほころ,166
論語に「,矩,をこえず」とある。,のり,矩のり,167
無人の,苫屋,で一晩雨露を凌ぐ。,とまや,苫屋とまや,168
牛肉の,佃煮,が好物だ。,つくだに,佃煮つくだに,169
,瓢,に酒を入れて小山を散策する。,ふくべ,瓢ふくべ,170
「,瑞穂,の国」との美称が使われる。,みずほ,瑞穂みずほ,171
昔は、藁で作った,沓,を履いていた。,くつ,沓くつ,172
洋服を,矢鱈,に買い込んだ。,やたら,矢鱈やたら,173
,凍,てつく朝に新聞を配る。,い,凍い,174
,周,く知られるところとなった。,あまね,周あまね,175
わが社はネット産業の,魁,といわれる。,さきがけ,魁さきがけ,176
人心を,煽,って暴動を起こす。,あお,煽あお,177
昔の戦争には,鑓,が使われた。,やり,鑓やり,178
牡馬の,蹄,の音が鳴り響く。,ひづめ,蹄ひづめ,179
会議の内容を,悉,に記録する。,つぶさ,悉つぶさ,180
永年の功労を,讃,えて表彰する。,たた,讃たた,181
細い,岨道,を通って山を越える。,そばみち,岨道そばみち,182
六十,匁,が一両にあたる。,もんめ,匁もんめ,183
他人の欠点をあからさまに,尤,める。,とが,尤とが,184
よく水が,捌,ける土壌にする。,は,捌は,185
上官の命令に,叛,いて行動する。,そむ,叛そむ,186
,灸,の治療を施して腰痛を和らげる。,やいと,灸やいと,217
,殆,うく大事故になるところだった。,あや,殆あや,218
酷い言葉に,苛,まれた。,さいな,苛さいな,219
君子の政務を傍で,丞,ける。,たす,丞たす,220
現在の技術では,奈,ともしがたい。,いかん,奈いかん,221
,郁,しい花の香りを胸いっぱい吸い込む。,かぐわ,郁かぐわ,222
,竈,で煮炊きをする。,かまど,竈かまど,223
その昔、この辺りは,廓,だった。,くるわ,廓くるわ,224
一,疋,の絹布で羽織をあつらえる。,ぴき,疋ぴき,225
三たび思いて,而,る後行う。,しか,而しか,226
,樵,として山の中で生活する。,きこり,樵きこり,227
母の悲しそうな姿が心を,掠,めた。,かす,掠かす,228
雨に,託,けて練習をサボる。,かこつ,託かこつ,229
川の,俣,にゴミがたまっている。,また,俣また,230
,瑞瑞,しい歌声が心にとまる。,みずみず,瑞瑞みずみず,231
,椴松,の製材を床板に用いる。,とどまつ,椴松とどまつ,232
二頭が,轡,を並べてゴールした。,くつわ,轡くつわ,233
笑いながら欠点を,論,う。,あげつら,論あげつら,234
少女を,拐,して連れ回す。,かどわか,拐かどわか,235
,遜,った態度に好感をおぼえる。,へりくだ,遜へりくだ,236
,堆,く積み上げられた本の山に驚く。,うずたか,堆うずたか,237
家の建築に,栂,の木を使う。,とが,栂とが,238
,魁,として盗賊団を統轄する。,かしら,魁かしら,239
落ち葉が川面を,韓紅,に染める。,からくれない,韓紅からくれない,240
,塙,に展望所と遊歩道を整備する。,はなわ,塙はなわ,271
足に負った傷を,庇,う。,かば,庇かば,272
,鉦,や太鼓を叩いて収穫を祝う。,かね,鉦かね,273
船頭の見事な歌声に,舷,をたたく。,ふなばた,舷ふなばた,274
納屋が風雨に,曝,されて朽ちる。,さら,曝さら,275
,鴇,は特別天然記念物だ。,とき,鴇とき,276
勝利を知り,乍,ち明るくなった。,たちま,乍たちま,277
岩山が壁のように,岨,っている。,そばだ,岨そばだ,278
,徒,に時間ばかりが過ぎた。,いたずら,徒いたずら,279
勝って汚名を,雪,ぐ。,すす,雪すす,280
,野蒜,は味噌で食べるのが一番だ。,のびる,野蒜のびる,281
着物の,裳裾,をからげる。,もすそ,裳裾もすそ,282
先取点に,弥,が上にも興奮する。,いや,弥いや,283
戦争中の,壕,の跡を埋める。,ほり,壕ほり,284
,諒,に申し訳ない。,まこと,諒まこと,285
遠来の客を,夷顔,で饗応した。,えびすがお,夷顔えびすがお,286
過ちを,文,る。,かざ,文かざ,287
物差しの,度,を読んで記録する。,めもり,度めもり,288
,稿,を清書する。,したがき,稿したがき,289
冬の晴れた空に,奴凧,を高く揚げる。,やっこだこ,奴凧やっこだこ,290
日よけに,簾,をおろす。,すだれ,簾すだれ,291
丑と寅との中間の方角を,艮,という。,うしとら,艮うしとら,292
木の皮などを原料にして紙を,漉,く。,す,漉す,293
造幣局では紙幣を,摺,っている。,す,摺す,294
研究論文は五百ページに,亘,る。,わた,亘わた,325
永年の苦労を,嘉,して賞が与えられた。,よみ,嘉よみ,326
お,呪,いのおかげでうまくできた。,まじな,呪まじな,327
,顎,足つきの招待を受ける。,あご,顎あご,328
一日の出来事を,具,に報告する。,つぶさ,具つぶさ,329
日本の発酵食品には,麹,が必要だ。,こうじ,麹こうじ,330
,蕗,の葉を傘代わりにする。,ふき,蕗ふき,331
貴婦人が礼装時に,檜扇,を持つ。,ひおうぎ,檜扇ひおうぎ,332
霊験,灼,な神社にお参りする。,あらたか,灼あらたか,333
,鍍金,がはげる。,めっき,鍍金めっき,334
息子は,鍔,のない帽子が好きだ。,つば,鍔つば,335
屋根に,梯子,をかける。,はしご,梯子はしご,336
夕暮れの,茜,雲がきれいだ。,あかね,茜あかね,337
両親の生活は,約,やかなものだった。,つづま,約つづま,338
,蕊,は花の生殖器官だ。,しべ,蕊しべ,339
源氏物語の四十八巻は,早蕨,だ。,さわらび,早蕨さわらび,340
虫が,集,っている。,たか,集たか,341
花々の,郁,しい香をかぐ。,かぐわ,郁かぐわ,342
孟浩然の広陵に,之,くを送る。,ゆ,之ゆ,343
総力を挙げて,塘,を築く。,つつみ,塘つつみ,344
