問題,解答,選択肢,識別番号1,識別番号2,識別番号3
世話,斡旋,あっせん,2844,,
梗概,粗筋,あらすじ,1504,,
怨恨,意趣,いしゅ,2820,,
払拭,一掃,いっそう,1482,,
片鱗,一端,いったん,1449,,
認可,允許,いんきょ,3783,,
秘匿,隠蔽,いんぺい,2823,,
不審,胡乱,うろん,1476,,
孜孜,営営,えいえい,3785,,
死別,永訣,えいけつ,1551,,
卓出,穎脱,えいだつ,1528,,
犀利,穎敏,えいびん,1453,,
長逝,永眠,えいみん,1574,,
隆昌,栄耀,えいよう,3791,,
来歴,沿革,えんかく,1575,,
意趣,怨恨,えんこん,2820,,
跳梁,横行,おうこう,2851,,
軒昂,旺盛,おうせい,2800,2824,
大儀,億劫,おっくう,1501,1594,
稜線,尾根,おね,3788,,
間諜,隠密,おんみつ,2856,,
難解,晦渋,かいじゅう,2804,4121,
籠絡,懐柔,かいじゅう,1626,2807,
瓦解,壊滅,かいめつ,2802,2828,
壊滅,瓦解,がかい,2802,2828,
寄留,仮寓,かぐう,2821,,
造詣,学識,がくしき,2853,,
正鵠,核心,かくしん,1569,,
競争,角逐,かくちく,2843,,
寝台,臥床,がしょう,3782,,
突然,俄然,がぜん,2779,,
調理,割烹,かっぽう,1520,,
冥利,果報,かほう,2827,,
峻厳,苛烈,かれつ,2847,,
清楚,可憐,かれん,2825,,
幽棲,閑居,かんきょ,2795,,
哨戒,監視,かんし,2798,,
容赦,寛恕,かんじょ,2849,,
堅牢,頑丈,がんじょう,1472,,
隠密,間諜,かんちょう,2856,,
洞察,看破,かんぱ,1526,,
返戻,還付,かんぷ,1578,,
面妖,奇怪,きかい,1552,,
突飛,奇矯,ききょう,3787,,
吉兆,奇瑞,きずい,1477,,
虎口,危地,きち,3762,,
瑞相,吉祥,きっしょう,1576,,
奇瑞,吉兆,きっちょう,1477,,
祥瑞,吉兆,きっちょう,3757,,
敏捷,機敏,きびん,2848,,
激昂,逆上,ぎゃくじょう,1529,,
頓死,急逝,きゅうせい,3759,,
逼迫,窮乏,きゅうぼう,1471,,
角逐,競争,きょうそう,2843,,
動顚,仰天,ぎょうてん,1481,,
驚倒,仰天,ぎょうてん,1530,,
仰天,驚倒,きょうとう,1530,,
真贋,虚実,きょじつ,2803,,
仮寓,寄留,きりゅう,2821,,
容貌,器量,きりょう,1550,1598,
鳳雛,麒麟児,きりんじ,1593,,
愉悦,欣喜,きんき,1525,,
未曾有,空前,くうぜん,1627,,
煩悶,苦悩,くのう,3784,,
捻出,工面,くめん,1543,,
腐心,苦慮,くりょ,1483,,
顚末,経緯,けいい,3755,,
吻合,契合,けいごう,2822,,
勾配,傾斜,けいしゃ,1502,,
粗忽,軽率,けいそつ,1521,1615,
蔑視,軽侮,けいぶ,2852,,
不世出,稀有,けう,1479,3779,
逆上,激昂,げきこう,1529,,
怒涛,激浪,げきろう,1580,,
所詮,結局,けっきょく,1621,,
卓越,傑出,けっしゅつ,2771,,
絶壁,懸崖,けんがい,1547,,
首魁,元凶,げんきょう,2797,,
旺盛,軒昂,けんこう,2800,2824,
退屈,倦怠,けんたい,1617,,
頑丈,堅牢,けんろう,1472,,
粗筋,梗概,こうがい,1504,,
市井,巷間,こうかん,1595,,
氾濫,洪水,こうずい,1623,,
評判,巷説,こうせつ,1570,,
固執,拘泥,こうでい,1567,,
消長,荒廃,こうはい,1573,,
傾斜,勾配,こうばい,1502,,
不遜,高慢,こうまん,1498,1596,
索莫,荒涼,こうりょう,1480,,
反駁,抗論,こうろん,1618,,
伯仲,互角,ごかく,1474,,
秘訣,極意,ごくい,2772,,
腹心,股肱,ここう,1475,4120,3790
危地,虎口,ここう,3762,,
拘泥,固執,こしつ,1567,,
突如,忽然,こつぜん,1568,,
弥縫,糊塗,こと,2773,,
穎敏,犀利,さいり,1453,,
収奪,搾取,さくしゅ,2850,,
荒涼,索莫,さくばく,1480,,
微小,些細,ささい,1523,,
傍観,坐視,ざし,2846,,
杜撰,雑駁,ざっぱく,2819,,
